id;fecha;valor;fecha_pago
1;2020-04-05T11:05:33;66735;2020-04-04T15:43:00
2;2020-04-04T17:01:26;25896;2020-04-05T05:07:22
3;2020-04-04T22:45:45;17222;2020-04-05T01:59:34
4;2020-04-04T22:30:53;97186;2020-04-05T03:01:48
5;2020-04-04T17:14:31;26606;2020-04-05T00:44:29
6;2020-04-05T03:37:47;87056;2020-04-05T03:42:04
7;2020-04-05T03:20:43;23235;2020-04-04T16:56:03
8;2020-04-05T08:04:48;11237;2020-04-04T22:40:03
9;2020-04-04T19:42:28;67822;2020-04-04T16:52:26
10;2020-04-05T08:19:59;99908;2020-04-04T13:08:47
